record_id,schema_version,record_family,stage_kind,goal_id,wave_id,campaign_id,synthesis_stage_id,surface_id,sweep_id,run_id,l4_pair_id,bundle_id,attempt_id,period_role,proxy_record_id,mt5_record_id,metric_id,metric_namespace,metric_value,value_type,unit,value_status,n_a_reason,authority,authority_path,authority_sha256,source_artifact_refs_json,parser_diagnostic,claim_effect,claim_boundary,created_at_utc
mt5_attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0_runtime_surface_kind_v1,kpi_ledger_record_v1,mt5_runtime,campaign,goal_us100_onnx_forward_boundary_v0,wave_us100_closedbar_surface_cartography_v0,campaign_us100_task_surface_scout_v0,,surface_us100_task_input_decision_rotation_v0,sweep_wave0_broad_surface_scout_v0,onnxlab_wave0_cell_008_surface_scout_v0,wave0_cell_008,bundle_wave0_cell_008_l4_onnx_export_v0,attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0,research_oos,,,mt5.runtime.surface_kind,mt5_runtime,decision_replay,string,class,observed,,mt5_attempt_manifest,runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0/attempt_manifest.yaml,10c60953b94d71d92af061af8be25c0983f932bd352aa121288b830e5c37fd79,"[{""availability"": ""present_hash_recorded"", ""path"": ""runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0/attempt_manifest.yaml"", ""sha256"": ""10c60953b94d71d92af061af8be25c0983f932bd352aa121288b830e5c37fd79"", ""size_bytes"": 28716}]",attempt_manifest_runtime_surface_contract.runtime_surface_kind,mt5_runtime_surface_classification_only_no_runtime_authority_no_economics_pass,kpi_observation_projection_only_no_runtime_authority_no_economics_pass_no_selected_baseline_no_live_readiness,2026-06-27T05:57:51Z
mt5_attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0_mt5_execution_row_count_v1,kpi_ledger_record_v1,mt5_runtime,campaign,goal_us100_onnx_forward_boundary_v0,wave_us100_closedbar_surface_cartography_v0,campaign_us100_task_surface_scout_v0,,surface_us100_task_input_decision_rotation_v0,sweep_wave0_broad_surface_scout_v0,onnxlab_wave0_cell_008_surface_scout_v0,wave0_cell_008,bundle_wave0_cell_008_l4_onnx_export_v0,attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0,research_oos,,,mt5.execution.row_count,mt5_runtime,45281,int,rows,observed,,mt5_execution_telemetry_summary,runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0/execution_telemetry_summary.yaml,390e058ee7ddf90ae4ff177f67b61177b741b7f00ab38282fcb420a1cb4aa659,"[{""availability"": ""present_hash_recorded"", ""path"": ""runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0/attempt_manifest.yaml"", ""sha256"": ""10c60953b94d71d92af061af8be25c0983f932bd352aa121288b830e5c37fd79"", ""size_bytes"": 28716}, {""availability"": ""present_hash_recorded"", ""path"": ""runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0/execution_telemetry_summary.yaml"", ""sha256"": ""390e058ee7ddf90ae4ff177f67b61177b741b7f00ab38282fcb420a1cb4aa659"", ""size_bytes"": 2194}]",execution_telemetry_summary_key:stats.row_count,mt5_decision_execution_observation_only_no_runtime_authority_no_economics_pass,kpi_observation_projection_only_no_runtime_authority_no_economics_pass_no_selected_baseline_no_live_readiness,2026-06-27T05:57:51Z
mt5_attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0_mt5_execution_open_action_count_v1,kpi_ledger_record_v1,mt5_runtime,campaign,goal_us100_onnx_forward_boundary_v0,wave_us100_closedbar_surface_cartography_v0,campaign_us100_task_surface_scout_v0,,surface_us100_task_input_decision_rotation_v0,sweep_wave0_broad_surface_scout_v0,onnxlab_wave0_cell_008_surface_scout_v0,wave0_cell_008,bundle_wave0_cell_008_l4_onnx_export_v0,attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0,research_oos,,,mt5.execution.open_action_count,mt5_runtime,5967,int,actions,observed,,mt5_execution_telemetry_summary,runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0/execution_telemetry_summary.yaml,390e058ee7ddf90ae4ff177f67b61177b741b7f00ab38282fcb420a1cb4aa659,"[{""availability"": ""present_hash_recorded"", ""path"": ""runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0/attempt_manifest.yaml"", ""sha256"": ""10c60953b94d71d92af061af8be25c0983f932bd352aa121288b830e5c37fd79"", ""size_bytes"": 28716}, {""availability"": ""present_hash_recorded"", ""path"": ""runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0/execution_telemetry_summary.yaml"", ""sha256"": ""390e058ee7ddf90ae4ff177f67b61177b741b7f00ab38282fcb420a1cb4aa659"", ""size_bytes"": 2194}]",execution_telemetry_summary_key:stats.trade_action_counts.open_action_count,mt5_decision_execution_observation_only_no_runtime_authority_no_economics_pass,kpi_observation_projection_only_no_runtime_authority_no_economics_pass_no_selected_baseline_no_live_readiness,2026-06-27T05:57:51Z
mt5_attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0_mt5_execution_close_action_count_v1,kpi_ledger_record_v1,mt5_runtime,campaign,goal_us100_onnx_forward_boundary_v0,wave_us100_closedbar_surface_cartography_v0,campaign_us100_task_surface_scout_v0,,surface_us100_task_input_decision_rotation_v0,sweep_wave0_broad_surface_scout_v0,onnxlab_wave0_cell_008_surface_scout_v0,wave0_cell_008,bundle_wave0_cell_008_l4_onnx_export_v0,attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0,research_oos,,,mt5.execution.close_action_count,mt5_runtime,1692,int,actions,observed,,mt5_execution_telemetry_summary,runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0/execution_telemetry_summary.yaml,390e058ee7ddf90ae4ff177f67b61177b741b7f00ab38282fcb420a1cb4aa659,"[{""availability"": ""present_hash_recorded"", ""path"": ""runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0/attempt_manifest.yaml"", ""sha256"": ""10c60953b94d71d92af061af8be25c0983f932bd352aa121288b830e5c37fd79"", ""size_bytes"": 28716}, {""availability"": ""present_hash_recorded"", ""path"": ""runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0/execution_telemetry_summary.yaml"", ""sha256"": ""390e058ee7ddf90ae4ff177f67b61177b741b7f00ab38282fcb420a1cb4aa659"", ""size_bytes"": 2194}]",execution_telemetry_summary_key:stats.trade_action_counts.close_action_count,mt5_decision_execution_observation_only_no_runtime_authority_no_economics_pass,kpi_observation_projection_only_no_runtime_authority_no_economics_pass_no_selected_baseline_no_live_readiness,2026-06-27T05:57:51Z
mt5_attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0_mt5_execution_open_failed_count_v1,kpi_ledger_record_v1,mt5_runtime,campaign,goal_us100_onnx_forward_boundary_v0,wave_us100_closedbar_surface_cartography_v0,campaign_us100_task_surface_scout_v0,,surface_us100_task_input_decision_rotation_v0,sweep_wave0_broad_surface_scout_v0,onnxlab_wave0_cell_008_surface_scout_v0,wave0_cell_008,bundle_wave0_cell_008_l4_onnx_export_v0,attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0,research_oos,,,mt5.execution.open_failed_count,mt5_runtime,0,int,actions,observed,,mt5_execution_telemetry_summary,runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0/execution_telemetry_summary.yaml,390e058ee7ddf90ae4ff177f67b61177b741b7f00ab38282fcb420a1cb4aa659,"[{""availability"": ""present_hash_recorded"", ""path"": ""runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0/attempt_manifest.yaml"", ""sha256"": ""10c60953b94d71d92af061af8be25c0983f932bd352aa121288b830e5c37fd79"", ""size_bytes"": 28716}, {""availability"": ""present_hash_recorded"", ""path"": ""runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0/execution_telemetry_summary.yaml"", ""sha256"": ""390e058ee7ddf90ae4ff177f67b61177b741b7f00ab38282fcb420a1cb4aa659"", ""size_bytes"": 2194}]",execution_telemetry_summary_key:stats.trade_action_counts.open_failed_count,mt5_decision_execution_observation_only_no_runtime_authority_no_economics_pass,kpi_observation_projection_only_no_runtime_authority_no_economics_pass_no_selected_baseline_no_live_readiness,2026-06-27T05:57:51Z
mt5_attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0_mt5_execution_long_signal_count_v1,kpi_ledger_record_v1,mt5_runtime,campaign,goal_us100_onnx_forward_boundary_v0,wave_us100_closedbar_surface_cartography_v0,campaign_us100_task_surface_scout_v0,,surface_us100_task_input_decision_rotation_v0,sweep_wave0_broad_surface_scout_v0,onnxlab_wave0_cell_008_surface_scout_v0,wave0_cell_008,bundle_wave0_cell_008_l4_onnx_export_v0,attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0,research_oos,,,mt5.execution.long_signal_count,mt5_runtime,5180,int,signals,observed,,mt5_execution_telemetry_summary,runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0/execution_telemetry_summary.yaml,390e058ee7ddf90ae4ff177f67b61177b741b7f00ab38282fcb420a1cb4aa659,"[{""availability"": ""present_hash_recorded"", ""path"": ""runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0/attempt_manifest.yaml"", ""sha256"": ""10c60953b94d71d92af061af8be25c0983f932bd352aa121288b830e5c37fd79"", ""size_bytes"": 28716}, {""availability"": ""present_hash_recorded"", ""path"": ""runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0/execution_telemetry_summary.yaml"", ""sha256"": ""390e058ee7ddf90ae4ff177f67b61177b741b7f00ab38282fcb420a1cb4aa659"", ""size_bytes"": 2194}]",execution_telemetry_summary_key:stats.execution_signal_counts.long,mt5_decision_execution_observation_only_no_runtime_authority_no_economics_pass,kpi_observation_projection_only_no_runtime_authority_no_economics_pass_no_selected_baseline_no_live_readiness,2026-06-27T05:57:51Z
mt5_attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0_mt5_execution_short_signal_count_v1,kpi_ledger_record_v1,mt5_runtime,campaign,goal_us100_onnx_forward_boundary_v0,wave_us100_closedbar_surface_cartography_v0,campaign_us100_task_surface_scout_v0,,surface_us100_task_input_decision_rotation_v0,sweep_wave0_broad_surface_scout_v0,onnxlab_wave0_cell_008_surface_scout_v0,wave0_cell_008,bundle_wave0_cell_008_l4_onnx_export_v0,attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0,research_oos,,,mt5.execution.short_signal_count,mt5_runtime,5191,int,signals,observed,,mt5_execution_telemetry_summary,runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0/execution_telemetry_summary.yaml,390e058ee7ddf90ae4ff177f67b61177b741b7f00ab38282fcb420a1cb4aa659,"[{""availability"": ""present_hash_recorded"", ""path"": ""runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0/attempt_manifest.yaml"", ""sha256"": ""10c60953b94d71d92af061af8be25c0983f932bd352aa121288b830e5c37fd79"", ""size_bytes"": 28716}, {""availability"": ""present_hash_recorded"", ""path"": ""runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0/execution_telemetry_summary.yaml"", ""sha256"": ""390e058ee7ddf90ae4ff177f67b61177b741b7f00ab38282fcb420a1cb4aa659"", ""size_bytes"": 2194}]",execution_telemetry_summary_key:stats.execution_signal_counts.short,mt5_decision_execution_observation_only_no_runtime_authority_no_economics_pass,kpi_observation_projection_only_no_runtime_authority_no_economics_pass_no_selected_baseline_no_live_readiness,2026-06-27T05:57:51Z
mt5_attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0_mt5_execution_flat_signal_count_v1,kpi_ledger_record_v1,mt5_runtime,campaign,goal_us100_onnx_forward_boundary_v0,wave_us100_closedbar_surface_cartography_v0,campaign_us100_task_surface_scout_v0,,surface_us100_task_input_decision_rotation_v0,sweep_wave0_broad_surface_scout_v0,onnxlab_wave0_cell_008_surface_scout_v0,wave0_cell_008,bundle_wave0_cell_008_l4_onnx_export_v0,attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0,research_oos,,,mt5.execution.flat_signal_count,mt5_runtime,34910,int,signals,observed,,mt5_execution_telemetry_summary,runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0/execution_telemetry_summary.yaml,390e058ee7ddf90ae4ff177f67b61177b741b7f00ab38282fcb420a1cb4aa659,"[{""availability"": ""present_hash_recorded"", ""path"": ""runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0/attempt_manifest.yaml"", ""sha256"": ""10c60953b94d71d92af061af8be25c0983f932bd352aa121288b830e5c37fd79"", ""size_bytes"": 28716}, {""availability"": ""present_hash_recorded"", ""path"": ""runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0/execution_telemetry_summary.yaml"", ""sha256"": ""390e058ee7ddf90ae4ff177f67b61177b741b7f00ab38282fcb420a1cb4aa659"", ""size_bytes"": 2194}]",execution_telemetry_summary_key:stats.execution_signal_counts.flat,mt5_decision_execution_observation_only_no_runtime_authority_no_economics_pass,kpi_observation_projection_only_no_runtime_authority_no_economics_pass_no_selected_baseline_no_live_readiness,2026-06-27T05:57:51Z
mt5_attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0_mt5_execution_no_trade_flat_count_v1,kpi_ledger_record_v1,mt5_runtime,campaign,goal_us100_onnx_forward_boundary_v0,wave_us100_closedbar_surface_cartography_v0,campaign_us100_task_surface_scout_v0,,surface_us100_task_input_decision_rotation_v0,sweep_wave0_broad_surface_scout_v0,onnxlab_wave0_cell_008_surface_scout_v0,wave0_cell_008,bundle_wave0_cell_008_l4_onnx_export_v0,attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0,research_oos,,,mt5.execution.no_trade_flat_count,mt5_runtime,33220,int,actions,observed,,mt5_execution_telemetry_summary,runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0/execution_telemetry_summary.yaml,390e058ee7ddf90ae4ff177f67b61177b741b7f00ab38282fcb420a1cb4aa659,"[{""availability"": ""present_hash_recorded"", ""path"": ""runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0/attempt_manifest.yaml"", ""sha256"": ""10c60953b94d71d92af061af8be25c0983f932bd352aa121288b830e5c37fd79"", ""size_bytes"": 28716}, {""availability"": ""present_hash_recorded"", ""path"": ""runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0/execution_telemetry_summary.yaml"", ""sha256"": ""390e058ee7ddf90ae4ff177f67b61177b741b7f00ab38282fcb420a1cb4aa659"", ""size_bytes"": 2194}]",execution_telemetry_summary_key:stats.trade_action_counts.no_trade_flat_count,mt5_decision_execution_observation_only_no_runtime_authority_no_economics_pass,kpi_observation_projection_only_no_runtime_authority_no_economics_pass_no_selected_baseline_no_live_readiness,2026-06-27T05:57:51Z
mt5_attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0_mt5_execution_hold_same_direction_count_v1,kpi_ledger_record_v1,mt5_runtime,campaign,goal_us100_onnx_forward_boundary_v0,wave_us100_closedbar_surface_cartography_v0,campaign_us100_task_surface_scout_v0,,surface_us100_task_input_decision_rotation_v0,sweep_wave0_broad_surface_scout_v0,onnxlab_wave0_cell_008_surface_scout_v0,wave0_cell_008,bundle_wave0_cell_008_l4_onnx_export_v0,attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0,research_oos,,,mt5.execution.hold_same_direction_count,mt5_runtime,4402,int,actions,observed,,mt5_execution_telemetry_summary,runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0/execution_telemetry_summary.yaml,390e058ee7ddf90ae4ff177f67b61177b741b7f00ab38282fcb420a1cb4aa659,"[{""availability"": ""present_hash_recorded"", ""path"": ""runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0/attempt_manifest.yaml"", ""sha256"": ""10c60953b94d71d92af061af8be25c0983f932bd352aa121288b830e5c37fd79"", ""size_bytes"": 28716}, {""availability"": ""present_hash_recorded"", ""path"": ""runtime/mt5_attempts/attempt_wave0_cell_008_l4_decision_replay_research_oos_momentum_ret_1_v0/execution_telemetry_summary.yaml"", ""sha256"": ""390e058ee7ddf90ae4ff177f67b61177b741b7f00ab38282fcb420a1cb4aa659"", ""size_bytes"": 2194}]",execution_telemetry_summary_key:stats.trade_action_counts.hold_same_direction_count,mt5_decision_execution_observation_only_no_runtime_authority_no_economics_pass,kpi_observation_projection_only_no_runtime_authority_no_economics_pass_no_selected_baseline_no_live_readiness,2026-06-27T05:57:51Z
